10AA01-0114-0086	
1554	0.1300
1555	0.1301
1556	0.1303
1557	0.1300
1558	0.1302
1559	0.1304
1560	0.1305
1561	0.1306
1562	0.1305
1563	0.1309
1564	0.1308
1565	0.1307
1566	0.1306
1567	0.1310
1568	0.1311
1569	0.1312
1570	0.1311
1571	0.1310
1572	0.1313
1573	0.1312
1574	0.1313
1575	0.1312
1576	0.1312
1577	0.1315
1578	0.1315
1579	0.1315
1580	0.1314
1581	0.1316
1582	0.1315
1583	0.1319
1584	0.1316
1585	0.1320
1586	0.1322
1587	0.1322
1588	0.1320
1589	0.1319
1590	0.1320
1591	0.1323
1592	0.1324
1593	0.1322
1594	0.1325
1595	0.1324
1596	0.1326
1597	0.1327
1598	0.1324
1599	0.1326
1600	0.1326
1601	0.1331
1602	0.1326
1603	0.1327
1604	0.1331
1605	0.1330
1606	0.1332
1607	0.1329
1608	0.1334
1609	0.1331
1610	0.1334
1611	0.1333
1612	0.1330
1613	0.1334
1614	0.1336
1615	0.1334
1616	0.1333
1617	0.1334
1618	0.1338
1619	0.1338
1620	0.1338
1621	0.1338
1622	0.1342
1623	0.1341
1624	0.1339
1625	0.1337
1626	0.1343
1627	0.1340
1628	0.1338
1629	0.1340
1630	0.1341
1631	0.1344
1632	0.1340
1633	0.1343
1634	0.1345
1635	0.1343
1636	0.1346
1637	0.1347
1638	0.1347
1639	0.1350
1640	0.1349
1641	0.1346
1642	0.1347
1643	0.1349
1644	0.1351
1645	0.1355
1646	0.1349
1647	0.1354
1648	0.1354
1649	0.1353
1650	0.1353
1651	0.1356
1652	0.1357
1653	0.1358
1654	0.1355
1655	0.1358
1656	0.1359
1657	0.1357
1658	0.1356
1659	0.1360
1660	0.1359
1661	0.1364
1662	0.1358
1663	0.1361
1664	0.1364
1665	0.1363
1666	0.1363
1667	0.1369
1668	0.1364
1669	0.1363
1670	0.1368
1671	0.1362
1672	0.1359
1673	0.1368
1674	0.1367
1675	0.1368
1676	0.1369
1677	0.1366
1678	0.1366
1679	0.1366
1680	0.1372
1681	0.1373
1682	0.1372
1683	0.1371
1684	0.1370
1685	0.1370
1686	0.1374
1687	0.1373
1688	0.1370
1689	0.1372
1690	0.1377
1691	0.1376
1692	0.1378
1693	0.1375
1694	0.1381
1695	0.1376
1696	0.1379
1697	0.1380
1698	0.1383
1699	0.1380
1700	0.1380
1701	0.1385
1702	0.1382
1703	0.1384
1704	0.1383
1705	0.1375
1706	0.1391
1707	0.1384
1708	0.1385
1709	0.1388
1710	0.1382
1711	0.1382
