52301-1-1	
1788	0.1354
1789	0.1347
1790	0.1353
1791	0.1352
1792	0.1347
1793	0.1348
1794	0.1353
1795	0.1354
1796	0.1363
1797	0.1366
1798	0.1358
1799	0.1354
1800	0.1353
1801	0.1366
1802	0.1363
1803	0.1372
1804	0.1362
1805	0.1361
1806	0.1366
1807	0.1338
1808	0.1351
1809	0.1345
1810	0.1364
1811	0.1369
1812	0.1357
1813	0.1373
1814	0.1369
1815	0.1374
1816	0.1365
1817	0.1372
1818	0.1365
1819	0.1359
1820	0.1360
1821	0.1381
1822	0.1371
1823	0.1360
1824	0.1354
1825	0.1364
1826	0.1373
1827	0.1351
1828	0.1350
1829	0.1358
1830	0.1373
1831	0.1400
1832	0.1369
1833	0.1392
1834	0.1386
1835	0.1403
1836	0.1371
1837	0.1370
1838	0.1364
1839	0.1350
1840	0.1388
1841	0.1384
1842	0.1375
1843	0.1385
1844	0.1371
1845	0.1382
1846	0.1394
1847	0.1363
1848	0.1375
1849	0.1386
1850	0.1362
1851	0.1406
1852	0.1376
1853	0.1384
1854	0.1367
1855	0.1355
1856	0.1364
1857	0.1376
1858	0.1367
1859	0.1347
1860	0.1360
1861	0.1375
1862	0.1390
1863	0.1378
1864	0.1363
1865	0.1391
1866	0.1373
1867	0.1385
1868	0.1406
1869	0.1392
1870	0.1386
1871	0.1420
1872	0.1407
1873	0.1411
1874	0.1428
1875	0.1407
1876	0.1404
1877	0.1398
1878	0.1381
1879	0.1388
1880	0.1380
1881	0.1380
1882	0.1366
1883	0.1373
1884	0.1376
1885	0.1370
1886	0.1383
1887	0.1392
1888	0.1346
1889	0.1353
1890	0.1359
1891	0.1388
1892	0.1400
1893	0.1390
1894	0.1353
1895	0.1375
1896	0.1379
1897	0.1398
1898	0.1386
1899	0.1404
1900	0.1378
1901	0.1390
1902	0.1368
1903	0.1364
1904	0.1356
1905	0.1383
1906	0.1377
1907	0.1397
1908	0.1395
1909	0.1411
1910	0.1395
1911	0.1410
1912	0.1379
1913	0.1369
1914	0.1389
1915	0.1403
1916	0.1409
1917	0.1394
1918	0.1430
1919	0.1433
1920	0.1406
1921	0.1395
1922	0.1430
1923	0.1437
1924	0.1422
1925	0.1427
1926	0.1423
1927	0.1410
1928	0.1451
1929	0.1445
1930	0.1403
1931	0.1410
1932	0.1363
1933	0.1370
1934	0.1413
1935	0.1443
1936	0.1425
1937	0.1394
1938	0.1378
1939	0.1393
1940	0.1393
1941	0.1359
1942	0.1407
1943	0.1420
1944	0.1381
1945	0.1389
1946	0.1392
1947	0.1388
1948	0.1390
1949	0.1402
1950	0.1386
1951	0.1380
1952	0.1397
1953	0.1402
1954	0.1383
1955	0.1386
1956	0.1392
1957	0.1391
1958	0.1385
1959	0.1381
1960	0.1373
1961	0.1391
1962	0.1385
1963	0.1394
1964	0.1384
1965	0.1397
1966	0.1393
1967	0.1390
1968	0.1395
1969	0.1390
1970	0.1403
1971	0.1398
1972	0.1393
1973	0.1412
1974	0.1400
1975	0.1381
1976	0.1389
1977	0.1394
1978	0.1405
1979	0.1406
1980	0.1406
1981	0.1389
1982	0.1385
1983	0.1406
1984	0.1397
1985	0.1385
1986	0.1393
1987	0.1406
1988	0.1413
1989	0.1427
1990	0.1419
1991	0.1392
1992	0.1382
1993	0.1391
1994	0.1391
1995	0.1400
1996	0.1409
1997	0.1408
1998	0.1405
1999	0.1418
2000	0.1415
2001	0.1394
2002	0.1384
2003	0.1397
2004	0.1414
2005	0.1409
2006	0.1398
2007	0.1406
2008	0.1399
2009	0.1387
2010	0.1405
2011	0.1402
2012	0.1401
2013	0.1396
2014	0.1401
2015	0.1410
2016	0.1393
2017	0.1395
2018	0.1417
2019	0.1428
2020	0.1400
2021	0.1405
2022	0.1423
2023	0.1424
2024	0.1435
2025	0.1436
2026	0.1418
2027	0.1416
2028	0.1413
2029	0.1411
2030	0.1423
2031	0.1429
2032	0.1435
2033	0.1432
2034	0.1426
2035	0.1448
2036	0.1438
2037	0.1427
2038	0.1433
2039	0.1435
2040	0.1430
2041	0.1420
2042	0.1423
2043	0.1413
2044	0.1420
2045	0.1424
2046	0.1409
2047	0.1415
2048	0.1392
2049	0.1404
2050	0.1420
2051	0.1415
2052	0.1422
2053	0.1428
2054	0.1434
2055	0.1439
2056	0.1416
2057	0.1411
2058	0.1410
2059	0.1419
2060	0.1435
2061	0.1423
2062	0.1396
2063	0.1417
2064	0.1414
2065	0.1433
2066	0.1447
2067	0.1454
2068	0.1423
2069	0.1432
2070	0.1450
2071	0.1445
2072	0.1467
2073	0.1434
2074	0.1402
2075	0.1393
2076	0.1386
2077	0.1425
2078	0.1449
2079	0.1432
2080	0.1424
2081	0.1420
2082	0.1428
2083	0.1432
2084	0.1437
2085	0.1431
2086	0.1439
2087	0.1419
2088	0.1434
